id	categories	canonical	display	expected	target	status	path_id
Alien Skye	Monsters	Galaxian Skimmer	Galaxian Skimmer	银河掠行者	银河掠行者	covered	83532
Alien Skye	Monsters	Galaxian Skimmer	Galaxian Skimmer Card	银河掠行者卡片	银河掠行者卡片	covered	81252
Alien Spike	Monsters	Cinderspike	Cinderspike	灰烬尖刺	灰烬尖刺	covered	83533
Alien Spike	Monsters	Cinderspike	Cinderspike Card	灰烬尖刺卡片	灰烬尖刺卡片	covered	81253
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap	噬帽菌	噬帽菌	covered	83534
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap Card	噬帽菌卡片	噬帽菌卡片	covered	81254
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap Pet	孢子宠物	孢子宠物	covered	82040
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star	小星星	小星星	covered	83535
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star Card	小星星卡片	小星星卡片	covered	81255
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star Pet	小星星宠物	小星星宠物	covered	82041
Alien Starry	Monsters	Starry	Starry	星辉	星辉	covered	83536
Alien Starry	Monsters	Starry	Starry Card	星辉卡片	星辉卡片	covered	81256
Alien Twinkle	Monsters	Twinkle	Twinkle	闪烁	闪烁	covered	83537
Alien Twinkle	Monsters	Twinkle	Twinkle Card	闪烁卡片	闪烁卡片	covered	81257
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel	灰烬轮	灰烬轮	covered	83538
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel Card	灰烬轮卡片	灰烬轮卡片	covered	81258
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel Pet	烈焰轮宠物	烈焰轮宠物	covered	82042
Alien Wreck	Monsters	Cindermaw	Cindermaw	灰烬巨口	灰烬巨口	covered	83539
Alien Wreck	Monsters	Cindermaw	Cindermaw Card	灰烬巨口卡片	灰烬巨口卡片	covered	81259
Alligator Gaa	Junks	Alligator Gar	Alligator Gaa	鳄鱼雀鳝	鳄鱼雀鳝	covered	83036
Amber Bow	Cosmetics,Equips	Amber Bow	Amber Bow	琥珀弓	琥珀弓	covered	82256
Amber Loop	Cosmetics,Equips	Amber Loop	Amber Loop	琥珀环	琥珀环	covered	82257
Amberstone	Junks	Amberstone	Amberstone	琥珀石	琥珀石	covered	83038
Amberstone Piece	Junks	Amberstone Piece	Amberstone Piece	琥珀石碎片	琥珀石碎片	covered	83037
Anathema	Statuses	Anathema	Anathema	谴咒	谴咒	covered	84189
Anchovy	Junks	Anchovy	Anchovy	凤尾鱼	凤尾鱼	covered	83039
Angel	Monsters	Angel	Angel	天使	天使	covered	83541
Angel	Monsters	Angel	Angel Card	天使卡片	天使卡片	covered	81261
Angel Mage	Monsters	Seraphim Arbiter	Angel Mage	六翼天使仲裁者	六翼天使仲裁者	covered	84372
Angel Mage	Monsters	Seraphim Arbiter	Seraphim Arbiter	六翼天使仲裁者	六翼天使仲裁者	covered	83540
Angel Mage	Monsters	Seraphim Arbiter	Seraphim Arbiter Card	六翼天使仲裁者卡片	六翼天使仲裁者卡片	covered	81260
Angelfish	Junks	Angelfish	Angelfish	神仙鱼	神仙鱼	covered	83040
AngelicBlessing	Skills,Statuses	Angelic Blessing	Angelic Blessing	天使恩典	天使恩典	covered	83909
Angler Fish	Junks	Angler Fish	Angler Fish	琵琶鱼	琵琶鱼	covered	83041
Antique Key	Junks	Antique Key	Antique Key	古董钥匙	古董钥匙	covered	83042
Antique Teacup	Junks	Antique Teacup	Antique Teacup	古董茶杯	古董茶杯	covered	83043
Apple	Junks	Apple	Apple	苹果	苹果	covered	83044
Arcane Sigil	Cosmetics,Equips	Arcane Sigil	Arcane Sigil	奥术印记	奥术印记	covered	82407
ArcaneChest	Cosmetics,Equips	Arcane Chest	Arcane Chest	奥术胸甲	奥术胸甲	covered	82295
ArcaneFeet	Cosmetics,Equips	Arcane Boots	Arcane Boots	奥术长靴	奥术长靴	covered	82296
ArcaneGloves	Cosmetics,Equips	Arcane Gloves	Arcane Gloves	奥术手套	奥术手套	covered	82297
ArcaneLegs	Cosmetics,Equips	Arcane Legs	Arcane Legs	奥术护腿	奥术护腿	covered	82298
ArcaneSigil	Skills,Statuses	Arcane Sigil	Arcane Sigil	奥术印记	奥术印记	covered	83910
Archangel	Cosmetics,Monsters	Archangel | Sangeal Pet	Archangel	大天使	大天使	covered	83542
Archangel	Cosmetics,Monsters	Archangel | Sangeal Pet	Archangel Card	大天使卡片	大天使卡片	covered	81262
Archangel	Cosmetics,Monsters	Archangel | Sangeal Pet	Archangel Pet	圣吉尔宠物	圣吉尔宠物	covered	82043
Arkose	Junks	Arkose	Arkose	长石砂岩	长石砂岩	covered	83045
Armor_Agi	Cosmetics,Equips	Speed Plate	Speed Plate	迅捷板甲	迅捷板甲	covered	82299
Armor_Dex	Cosmetics,Equips	Precision Plate	Precision Plate	精准板甲	精准板甲	covered	82300
Armor_Int	Cosmetics,Equips	Mind Plate	Mind Plate	心灵板甲	心灵板甲	covered	82301
Armor_Luk	Cosmetics,Equips	Fate Plate	Fate Plate	命运板甲	命运板甲	covered	82302
Armor_Str	Cosmetics,Equips	Power Plate	Power Plate	力量板甲	力量板甲	covered	82303
Armor_Vit	Cosmetics,Equips	Endurance Plate	Endurance Plate	坚韧板甲	坚韧板甲	covered	82304
ArmorBreak	Statuses	Armor Break	Armor Break	破甲	破甲	covered	84192
Armored	Skills,Statuses	Armored	Armored	护甲强化	护甲强化	covered	83911
Arowana	Junks	Arowana	Arowana	龙鱼	龙鱼	covered	83046
Arrow Quiver	Cosmetics,Equips	Arrow Quiver	Arrow Quiver	箭袋	箭袋	covered	82408
Arrowcatch Wall	Cosmetics,Equips	Arrowcatch Wall	Arrowcatch Wall	捕箭壁垒	捕箭壁垒	covered	82705
ArrowShower	Skills	Arrow Shower	Arrow Shower	箭雨	箭雨	covered	83912
ArrowShower Gem	Gems	Arrow Shower Gem	Arrow Shower Gem	箭雨宝石	箭雨宝石	covered	82906
Artemis	Cosmetics,Equips	Artemis	Artemis	阿耳忒弥斯	阿耳忒弥斯	covered	82732
Artifact Box Advanced	Consumables	Box of Mastery	Box of Mastery	精通宝箱	精通宝箱	covered	81579
Artifact Box Base	Consumables	Box of Origins	Box of Origins	起源宝箱	起源宝箱	covered	81580
Artificer	Archetypes,NPCs	Artificer	Artificer	奇械师	奇械师	covered	83854
Ash	Junks	Ash	Ash	灰烬	灰烬	covered	83047
Assassin	Archetypes	Assassin	Assassin	刺客	刺客	covered	81170
Atk	Artifacts	Warglyph	Warglyph	战纹	战纹	covered	81200
AtkSpd Gem	Gems	Tempo Gem	Tempo Gem	节奏宝石	节奏宝石	covered	82907
Aura_Angel	Cosmetics	Angelic Aura	Angelic Aura	天使光环	天使光环	covered	81627
Aura_Demon	Cosmetics	Demonic Aura	Demonic Aura	恶魔光环	恶魔光环	covered	81628
Auto	Artifacts	Blitzcore	Blitzcore	闪击核心	闪击核心	covered	81201
AutoAttack	Skills	Auto Attack	Auto Attack	普通攻击	普通攻击	covered	83913
AutoattackMastery	SkillPassives	Deadly Strikes	Deadly Strikes	致命一击	致命一击	covered	83873
AutoStrafe	SkillPassives	Auto Strafe	Auto Strafe	自动扫射	自动扫射	covered	83872
Axe	Cosmetics,Equips	Axe	Axe	斧	斧	covered	82734
Axe of Oblivion	Cosmetics,Equips	Axe of Oblivion	Axe of Oblivion	遗忘之斧	遗忘之斧	covered	82733
AxeArc	Skills	Twin Cleave	Twin Cleave	双重劈砍	双重劈砍	covered	83914
AxeArc Gem	Gems	Twin Cleave Gem	Twin Cleave Gem	双重劈砍宝石	双重劈砍宝石	covered	82908
AxeMastery	SkillPassives	Axe Mastery	Axe Mastery	斧精通	斧精通	covered	83874
AxeThrow	Skills	Axe Throw	Axe Throw	飞斧	飞斧	covered	83915
AxeThrow Gem	Gems	Axe Throw Gem	Axe Throw Gem	飞斧宝石	飞斧宝石	covered	82909
AxeVortex	Skills	Vortex Slash	Vortex Slash	旋风斩	旋风斩	covered	83916
AxeVortex Gem	Gems	Vortex Slash Gem	Vortex Slash Gem	旋风斩宝石	旋风斩宝石	covered	82910
Azure Antlers	Cosmetics,Equips	Azure Antlers	Azure Antlers	蔚蓝鹿角	蔚蓝鹿角	covered	82556
Azure Crown	Cosmetics,Equips	Azure Crown	Azure Crown	蔚蓝王冠	蔚蓝王冠	covered	82557
Azure Cutlass	Cosmetics,Equips	Azure Cutlass	Azure Cutlass	蔚蓝弯刀	蔚蓝弯刀	covered	82735
Azure Prism	Cosmetics,Equips	Azure Prism	Azure Prism	蔚蓝棱镜	蔚蓝棱镜	covered	82259
Azure Tag	Cosmetics,Equips	Azure Tag	Azure Tag	蔚蓝铭牌	蔚蓝铭牌	covered	82260
Azurite	Junks	Azurite	Azurite	蓝铜矿	蓝铜矿	covered	83049
Azurite Piece	Junks	Azurite Piece	Azurite Piece	蓝铜矿碎片	蓝铜矿碎片	covered	83048
Back_Academy	Cosmetics	Academy Satchel	Academy Backpack	学院挎包	学院挎包	covered	81629
Back_Angel	Cosmetics	Angel Back	Angel Back	天使背饰	天使背饰	covered	81630
Back_BabyChicken	Cosmetics	Baby Chick Backpack	Baby Chicken	小鸡背包	小鸡背包	covered	81631
Back_Balloon	Cosmetics	Red Balloon	Balloon	红气球	红气球	covered	81632
Back_BucketofShrooms	Cosmetics	Bucket of Shrooms	Bucket of Shrooms	一桶蘑菇	一桶蘑菇	covered	81633
Back_CatBoltTail	Cosmetics	Regent's Sparktail	Cat Bolt Tail	摄政王的火花尾	摄政王的火花尾	covered	81636
Back_CrystalWings	Cosmetics	Frost Crystal Wings	Crystal Wings	水晶羽翼	水晶羽翼	covered	81637
Back_Cuervo	Cosmetics	Cuervo Back	Cuervo Back	克乌沃背饰	克乌沃背饰	covered	81638
Back_CyberRogue	Cosmetics	Cyber Rogue Back	Cyber Rogue Back	赛博盗贼背饰	赛博盗贼背饰	covered	81639
Back_Demonic	Cosmetics	Demonic Back	Demonic Back	恶魔背饰	恶魔背饰	covered	81640
Back_DragonWings	Cosmetics	Dragon Wings	Dragon Wings	巨龙羽翼	巨龙羽翼	covered	81641
Back_DualAxes	Cosmetics	Crossed Axes	Dual Axes	交叉双斧	交叉双斧	covered	81642
Back_FairyWings	Cosmetics	Fairy Wings	Fairy Wings	仙女之翼	仙女之翼	covered	81643
Back_FlowerPot	Cosmetics	Potted Blooms	Flower Pot	盆栽花卉	盆栽花卉	covered	81644
Back_ForgeWings	Cosmetics	Forge Wings	Forge Wings	锻造之翼	锻造之翼	covered	81645
Back_HolyCape	Cosmetics	Holy Cape	Holy Cape	圣光披风	圣光披风	covered	81646
Back_HourGlass	Cosmetics	Hourglass	Hour Glass	滴漏	滴漏	covered	81647
Back_MinersPouch	Cosmetics	Miner's Pouch	Miners Pouch	矿工腰包	矿工腰包	covered	81648
Back_RaggedCape	Cosmetics	Ragged Cape	Ragged Cape	破烂的斗篷	破烂的斗篷	covered	81649
Back_TeddyBear	Cosmetics	Teddy Bear Backpack	Teddy Bear	泰迪熊背包	泰迪熊背包	covered	81651
Back_UmbrasGrace	Cosmetics	Umbra's Grace	Umbra's Grace	翁布拉恩典	翁布拉恩典	covered	81652
Back_VitaeGift	Cosmetics	Vitae's Gift	Vitae's Gift	维泰之礼	维泰之礼	covered	81653
Back_WolfPack	Cosmetics	Wolf Backpack	Wolf Backpack	狼背包	狼背包	covered	81654
Backpack	Cosmetics,Equips	Backpack	Backpack	背包	背包	covered	82409
Badge_Demonic	Cosmetics	Demonic	Demonic	恶魔	恶魔	covered	81665
Badge_Designer	Cosmetics	Designer	Designer	设计师	设计师	covered	81666
Ball Robot Blue	Monsters	Ward Robot	Ward Robot	护卫机器人	护卫机器人	covered	83543
Ball Robot Blue	Monsters	Ward Robot	Ward Robot Card	护卫机器人卡片	护卫机器人卡片	covered	81263
Ball Robot Red	Monsters	Strike Robot	Strike Robot	攻击机器人	攻击机器人	covered	83544
Ball Robot Red	Monsters	Strike Robot	Strike Robot Card	攻击机器人卡片	攻击机器人卡片	covered	81264
Banana	Junks	Banana	Banana	香蕉	香蕉	covered	83050
Bandit Wrap	Cosmetics,Equips	Bandit Wrap	Bandit Wrap	强盗裹布	强盗裹布	covered	82558
Banner Helm	Cosmetics,Equips	Banner Helm	Banner Helm	战旗头盔	战旗头盔	covered	82559
Baobab	Junks	Baobab	Baobab	猴面包树	猴面包树	covered	83052
Baobab Piece	Junks	Baobab Piece	Baobab Piece	猴面包树碎片	猴面包树碎片	covered	83051
Barley	Junks	Barley	Barley	大麦	大麦	covered	83053
Barrier	Skills,Statuses	Sacred Aegis	Sacred Aegis	神圣庇护	神圣庇护	covered	83917
Basalt	Junks	Basalt	Basalt	玄武岩	玄武岩	covered	83055
Basalt Fine	Junks	Basalt Sand	Basalt Fine	玄武岩砂	玄武岩砂	covered	83054
Bash	Skills	Bash	Bash	猛击	猛击	covered	83918
Bash Gem	Gems	Bash Gem	Bash Gem	猛击宝石	猛击宝石	covered	82911
Bastion	Artifacts	Bastion	Bastion	堡垒	堡垒	covered	81202
Bat	Cosmetics,Monsters	Bat | Flitterbat Pet	Bat	蝙蝠	蝙蝠	covered	83546
Bat	Cosmetics,Monsters	Bat | Flitterbat Pet	Bat Card	蝙蝠卡片	蝙蝠卡片	covered	81266
Bat	Cosmetics,Monsters	Bat | Flitterbat Pet	Bat Pet	飞翔蝙蝠宠物	飞翔蝙蝠宠物	covered	82044
Bat Lord	Monsters	Night Baron	Bat Lord	暗夜男爵	暗夜男爵	covered	84373
Bat Lord	Monsters	Night Baron	Night Baron	暗夜男爵	暗夜男爵	covered	83545
Bat Lord	Monsters	Night Baron	Night Baron Card	暗夜男爵卡片	暗夜男爵卡片	covered	81265
Batling Familiar	Cosmetics,Equips	Batling Familiar	Batling Familiar	幼蝠使魔	幼蝠使魔	covered	82410
Battle Bonnet	Cosmetics,Equips	Battle Bonnet	Battle Bonnet	战斗帽	战斗帽	covered	82560
Bauxite	Junks	Bauxite	Bauxite	铝土矿	铝土矿	covered	83056
Bear Backpack	Cosmetics,Equips	Bear Backpack	Bear Backpack	熊背包	熊背包	covered	82411
Bear Hug Hood	Cosmetics,Equips	Bear Hood	Bear Hug Hood	熊兜帽	熊兜帽	covered	82561
Beast Helm	Cosmetics,Equips	Beast Helm	Beast Helm	野兽头盔	野兽头盔	covered	82562
Beast Hood	Cosmetics,Equips	Beast Hood	Beast Hood	野兽兜帽	野兽兜帽	covered	82563
Beast Pelt Hood	Cosmetics,Equips	Bandana	Beast Pelt Hood	头巾	头巾	covered	82564
Bee	Cosmetics,Monsters	Bee | Honeybum Pet	Bee	蜜蜂	蜜蜂	covered	83547
Bee	Cosmetics,Monsters	Bee | Honeybum Pet	Bee Card	蜜蜂卡片	蜜蜂卡片	covered	81267
Bee	Cosmetics,Monsters	Bee | Honeybum Pet	Bee Pet	蜜糖蜂宠物	蜜糖蜂宠物	covered	82045
Beehive	Junks	Beehive	Beehive	蜂窝	蜂窝	covered	83057
Berserk	Skills,Statuses	Berserk	Berserk	狂暴	狂暴	covered	83919
Berserk	Skills,Statuses	Berserk	Direwolf	恐狼	恐狼	covered	82224
BerserkChest	Cosmetics,Equips	Duskhunter Chest	Direwolf Chest	暮光猎手胸甲	暮光猎手胸甲	covered	82305
Berserker	Archetypes	Berserker	Berserker	狂战士	狂战士	covered	81171
Berserker_1	Artifacts,Cosmetics,Equips,SkillPassives	Bloodfury | War Cry	Bloodfury	血怒	血怒	covered	81203
Berserker_1	Artifacts,Cosmetics,Equips,SkillPassives	Bloodfury | War Cry	War Cry	战吼	战吼	covered	83326
Berserker_2	Cosmetics,Equips,SkillPassives	Crimson Frenzy	Crimson Frenzy	绯红狂乱	绯红狂乱	covered	83327
Berserker_3	Cosmetics,Equips,SkillPassives	Slaughter Instinct	Slaughter Instinct	屠戮本能	屠戮本能	covered	83328
Berserker_4	Cosmetics,Equips,SkillPassives	Executioner	Executioner	刽子手	刽子手	covered	83329
BerserkFeet	Cosmetics,Equips	Duskhunter Shoes	Direwolf Shoes	暮光猎手鞋	暮光猎手鞋	covered	82306
BerserkLegs	Cosmetics,Equips	Duskhunter Legs	Direwolf Legs	暮光猎手护腿	暮光猎手护腿	covered	82307
Betta	Junks	Betta	Betta	斗鱼	斗鱼	covered	83058
Binding Spirits Staff	Cosmetics,Equips	Binding Spirits Staff	Binding Spirits Staff	缚灵法杖	缚灵法杖	covered	82736
Bird	Monsters	Rooster	Rooster	公鸡	公鸡	covered	83548
Bird	Monsters	Rooster	Rooster Card	公鸡卡片	公鸡卡片	covered	81268
Black Locust	Junks	Black Locust	Black Locust	黑刺槐	黑刺槐	covered	83059
Blacksmith	Archetypes,NPCs	Blacksmith	Blacksmith	铁匠	铁匠	covered	83855
BlacksmithVendor	NPCs	Material Vendor	Material Vendor	材料商人	材料商人	covered	83856
Blacksteel Blade	Cosmetics,Equips	Blacksteel Blade	Blacksteel Blade	黑钢之刃	黑钢之刃	covered	82737
Blade of Eclipse	Cosmetics,Equips	Blade of Eclipse | Eclipse Blade	Blade of Eclipse	日蚀刃	日蚀刃	covered	82738
Blade Standard	Cosmetics,Equips	Blade Standard	Blade Standard	剑刃战旗	剑刃战旗	covered	82412
Bladed Penknife	Junks	Bladed Penknife	Bladed Penknife	刃口小刀	刃口小刀	covered	83060
BladeDance	Skills	Blade Dance	Blade Dance	刃舞	刃舞	covered	83920
BladeDance Gem	Gems	Blade Dance Gem	Blade Dance Gem	刃舞宝石	刃舞宝石	covered	82912
BladeMastery	SkillPassives	Blade Mastery	Blade Mastery	刃精通	刃精通	covered	83875
Blast Robot Blue	Monsters	Guard Robot	Guard Robot	警卫机器人	警卫机器人	covered	83549
Blast Robot Blue	Monsters	Guard Robot	Guard Robot Card	警卫机器人卡片	警卫机器人卡片	covered	81269
Blast Robot Red	Monsters	Blast Robot	Blast Robot	爆破机器人	爆破机器人	covered	83550
Blast Robot Red	Monsters	Blast Robot	Blast Robot Card	爆破机器人卡片	爆破机器人卡片	covered	81270
BleedCoating	Skills,Statuses	Red Maw	Red Maw	猩红巨口	猩红巨口	covered	83921
Bleeding	Statuses	Bleeding	Bleeding	流血	流血	covered	84197
Blessing	Skills,Statuses	Benediction	Benediction	祈福	祈福	covered	83922
Blind	Monsters,Statuses	Blind | Nightshade	Blind	致盲	致盲	covered	84199
Blind	Monsters,Statuses	Blind | Nightshade	Nightshade	夜影	夜影	covered	83551
Blind	Monsters,Statuses	Blind | Nightshade	Nightshade Card	夜影卡片	夜影卡片	covered	81271
Blindfold	Cosmetics,Equips	Blindfold	Blindfold	蒙眼布	蒙眼布	covered	82566
BlindImmunity	Statuses	Blind Immunity	Blind Immunity	致盲免疫	致盲免疫	covered	84200
Blink	Skills	Blink	Blink	闪现	闪现	covered	83923
Blood Clip	Cosmetics,Equips	Blood Clip	Blood Clip	鲜血发夹	鲜血发夹	covered	82261
Blood Pendant	Cosmetics,Equips	Blood Pendant	Blood Pendant	鲜血吊坠	鲜血吊坠	covered	82413
Bloodbound	Cosmetics,Equips	Bloodbound	Bloodbound	血缚	血缚	covered	82308
BloodCrash	Skills,Statuses	Blood Crash	Blood Crash	血涌	血涌	covered	83924
BloodFrenzy	Skills,Statuses	Blood Frenzy	Blood Frenzy	鲜血狂乱	鲜血狂乱	covered	83925
BloodLust	Skills,Statuses	Blood Lust	Blood Lust	嗜血	嗜血	covered	83926
Bloodprice	Statuses	Bloodprice	Bloodprice	血价	血价	covered	84204
Bloom	Monsters	Nightbloom	Nightbloom	夜之花	夜之花	covered	83552
Bloom	Monsters	Nightbloom	Nightbloom Card	夜之花卡片	夜之花卡片	covered	81272
Bloom of Midnight	Cosmetics,Equips	Bloom of Midnight	Bloom of Midnight	午夜绽放	午夜绽放	covered	82739
Bloom Pendant	Cosmetics,Equips	Bloom Pendant	Bloom Pendant	绽放吊坠	绽放吊坠	covered	82262
Bloom Ring	Cosmetics,Equips	Bloom Ring	Bloom Ring	绽放戒指	绽放戒指	covered	82263
Blossom	Monsters	Deathblossom	Deathblossom	死亡之花	死亡之花	covered	83553
Blossom	Monsters	Deathblossom	Deathblossom Card	死亡之花卡片	死亡之花卡片	covered	81273
Blowfish	Junks	Blowfish	Blowfish	河豚	河豚	covered	83061
Blue Shell	Cosmetics,Equips	Blue Shell	Blue Shell	蓝色甲壳	蓝色甲壳	covered	82414
Blue Tang	Junks	Blue Tang	Blue Tang	蓝倒吊	蓝倒吊	covered	83062
Bluefin Tuna	Junks	Bluefin Tuna	Bluefin Tuna	蓝鳍金枪鱼	蓝鳍金枪鱼	covered	83063
Blunderbuss	Cosmetics,Equips	Blunderbuss	Blunderbuss	火铳	火铳	covered	82740
Bomb	Cosmetics,Monsters	Bomb | Bombkin Pet	Bomb	炸弹	炸弹	covered	83554
Bomb	Cosmetics,Monsters	Bomb | Bombkin Pet	Bomb Card	炸弹卡片	炸弹卡片	covered	81274
Bomb	Cosmetics,Monsters	Bomb | Bombkin Pet	Bomb Pet	炸弹仔宠物	炸弹仔宠物	covered	82046
Bomb Bud	Cosmetics,Equips	Bomb Bud	Bomb Bud	炸弹花苞	炸弹花苞	covered	82415
Bone Channeler	Cosmetics,Equips	Bone Channeler	Bone Channeler	骸骨导引者	骸骨导引者	covered	82741
Bone Helm	Cosmetics,Equips	Bone Helm	Bone Helm	白骨头盔	白骨头盔	covered	82567
Bone Pick	Cosmetics,Equips	Bone Pick	Bone Pick	骨镐	骨镐	covered	82742
Bonefang	Cosmetics,Equips	Bonefang	Bonefang	骨牙	骨牙	covered	82743
BoneSpear	Skills	Bone Spear	Bone Spear	骨矛	骨矛	covered	83927
BoneSpear Gem	Gems	Bone Spear Gem	Bone Spear Gem	骨矛宝石	骨矛宝石	covered	82913
BoneSpikes	Skills	Bone Spikes	Bone Spikes	骨刺	骨刺	covered	83928
BoneSpikes Gem	Gems	Bone Spikes Gem	Bone Spikes Gem	骨刺宝石	骨刺宝石	covered	82914
Bonk	Skills	Bonk!	Bonk!	猛敲！	猛敲！	covered	83929
BonkStick	Equips	Bonk Stick	Bonk Stick	猛敲棒	猛敲棒	covered	82744
BoostAxeArc	Statuses	Bloodtrail	Bloodtrail	血迹	血迹	covered	84205
BoostAxeVortex	Statuses	Warmaw	Warmaw	战争巨口	战争巨口	covered	84206
BoostBash	Statuses	Breakjaw	Breakjaw	碎颌	碎颌	covered	84207
BoostSmite	Statuses	Martyr's Oath	Martyr's Oath	殉道誓约	殉道誓约	covered	84208
BoostStomp	Statuses	Gorepath	Gorepath	戈尔帕斯	戈尔帕斯	covered	84209
BossProtocol	Grimoires,SkillPassives	Boss Protocol	Boss Protocol	首领协议	首领协议	covered	83330
Bot Robot	Monsters	Repair Robot	Repair Robot	维修机器人	维修机器人	covered	83555
Bot Robot	Monsters	Repair Robot	Repair Robot Card	维修机器人卡片	维修机器人卡片	covered	81275
Bottle	Junks	Bottle	Bottle	瓶子	瓶子	covered	83064
Boxy Robot	Cosmetics,Monsters	Boxy Robot | S.U. B0X Pet	Boxy Robot	方盒机器人	方盒机器人	covered	83556
Boxy Robot	Cosmetics,Monsters	Boxy Robot | S.U. B0X Pet	Boxy Robot Card	方盒机器人卡片	方盒机器人卡片	covered	81276
Boxy Robot	Cosmetics,Monsters	Boxy Robot | S.U. B0X Pet	Boxy Robot Pet	S.U. B0X 宠物	S.U. B0X 宠物	covered	82047
Branch	Junks	Branch	Branch	树枝	树枝	covered	83067
Branch Broken	Junks	Broken Branch	Branch Broken	断枝	断枝	covered	83065
